Typ bytovej jednotky;Počet osôb v bytovej jednotke;Počet obytných miestností v bytovej jednotke
Byty v budovách s jedným bytom;1 osoba;1 obytná miestnosť
Byty v budovách s jedným bytom;1 osoba;2 obytné miestnosti
Byty v budovách s jedným bytom;1 osoba;3 obytné miestnosti
Byty v budovách s jedným bytom;1 osoba;4 obytné miestnosti
Byty v budovách s jedným bytom;1 osoba;5 obytných miestností
Byty v budovách s jedným bytom;1 osoba;6 obytných miestností
Byty v budovách s jedným bytom;1 osoba;7 obytných miestností
Byty v budovách s jedným bytom;1 osoba;8 obytných miestností
Byty v budovách s jedným bytom;1 osoba;9 obytných miestností a viac
Byty v budovách s jedným bytom;1 osoba;Nezistené
Byty v budovách s jedným bytom;2 osoby;1 obytná miestnosť
Byty v budovách s jedným bytom;2 osoby;2 obytné miestnosti
Byty v budovách s jedným bytom;2 osoby;3 obytné miestnosti
Byty v budovách s jedným bytom;2 osoby;4 obytné miestnosti
Byty v budovách s jedným bytom;2 osoby;5 obytných miestností
Byty v budovách s jedným bytom;2 osoby;6 obytných miestností
Byty v budovách s jedným bytom;2 osoby;7 obytných miestností
Byty v budovách s jedným bytom;2 osoby;8 obytných miestností
Byty v budovách s jedným bytom;2 osoby;9 obytných miestností a viac
Byty v budovách s jedným bytom;2 osoby;Nezistené
Byty v budovách s jedným bytom;3 osoby;1 obytná miestnosť
Byty v budovách s jedným bytom;3 osoby;2 obytné miestnosti
Byty v budovách s jedným bytom;3 osoby;3 obytné miestnosti
Byty v budovách s jedným bytom;3 osoby;4 obytné miestnosti
Byty v budovách s jedným bytom;3 osoby;5 obytných miestností
Byty v budovách s jedným bytom;3 osoby;6 obytných miestností
Byty v budovách s jedným bytom;3 osoby;7 obytných miestností
Byty v budovách s jedným bytom;3 osoby;8 obytných miestností
Byty v budovách s jedným bytom;3 osoby;9 obytných miestností a viac
Byty v budovách s jedným bytom;3 osoby;Nezistené
Byty v budovách s jedným bytom;4 osoby;1 obytná miestnosť
Byty v budovách s jedným bytom;4 osoby;2 obytné miestnosti
Byty v budovách s jedným bytom;4 osoby;3 obytné miestnosti
Byty v budovách s jedným bytom;4 osoby;4 obytné miestnosti
Byty v budovách s jedným bytom;4 osoby;5 obytných miestností
Byty v budovách s jedným bytom;4 osoby;6 obytných miestností
Byty v budovách s jedným bytom;4 osoby;7 obytných miestností
Byty v budovách s jedným bytom;4 osoby;8 obytných miestností
Byty v budovách s jedným bytom;4 osoby;9 obytných miestností a viac
Byty v budovách s jedným bytom;4 osoby;Nezistené
Byty v budovách s jedným bytom;5 osôb;1 obytná miestnosť
Byty v budovách s jedným bytom;5 osôb;2 obytné miestnosti
Byty v budovách s jedným bytom;5 osôb;3 obytné miestnosti
Byty v budovách s jedným bytom;5 osôb;4 obytné miestnosti
Byty v budovách s jedným bytom;5 osôb;5 obytných miestností
Byty v budovách s jedným bytom;5 osôb;6 obytných miestností
Byty v budovách s jedným bytom;5 osôb;7 obytných miestností
